CodigoNacional;momento;HR_Valor
270008;01-01-2017 00:00:00;74.0
270008;01-01-2017 12:00:00;77.0
270008;01-01-2017 13:00:00;75.0
270008;01-01-2017 14:00:00;70.0
270008;01-01-2017 15:00:00;65.0
270008;01-01-2017 16:00:00;62.0
270008;01-01-2017 17:00:00;57.0
270008;01-01-2017 18:00:00;59.0
270008;01-01-2017 19:00:00;62.0
270008;01-01-2017 20:00:00;66.0
270008;01-01-2017 21:00:00;63.0
270008;01-01-2017 22:00:00;66.0
270008;01-01-2017 23:00:00;71.0
270008;02-01-2017 00:00:00;73.0
270008;02-01-2017 12:00:00;85.0
270008;02-01-2017 13:00:00;80.0
270008;02-01-2017 14:00:00;71.0
270008;02-01-2017 15:00:00;58.0
270008;02-01-2017 16:00:00;54.0
270008;02-01-2017 17:00:00;47.0
270008;02-01-2017 18:00:00;54.0
270008;02-01-2017 19:00:00;57.0
270008;02-01-2017 20:00:00;57.0
270008;02-01-2017 21:00:00;57.0
270008;02-01-2017 22:00:00;60.0
270008;02-01-2017 23:00:00;63.0
270008;03-01-2017 00:00:00;74.0
270008;03-01-2017 01:00:00;78.0
270008;03-01-2017 12:00:00;74.0
270008;03-01-2017 13:00:00;68.0
270008;03-01-2017 14:00:00;59.0
270008;03-01-2017 15:00:00;54.0
270008;03-01-2017 16:00:00;56.0
270008;03-01-2017 17:00:00;51.0
270008;03-01-2017 18:00:00;54.0
270008;03-01-2017 19:00:00;53.0
270008;03-01-2017 20:00:00;52.0
270008;03-01-2017 21:00:00;54.0
270008;03-01-2017 22:00:00;59.0
270008;03-01-2017 23:00:00;64.0
270008;04-01-2017 00:00:00;71.0
270008;04-01-2017 12:00:00;79.0
270008;04-01-2017 13:00:00;74.0
270008;04-01-2017 14:00:00;64.0
270008;04-01-2017 15:00:00;59.0
270008;04-01-2017 16:00:00;54.0
270008;04-01-2017 17:00:00;51.0
270008;04-01-2017 18:00:00;55.0
270008;04-01-2017 19:00:00;55.0
270008;04-01-2017 20:00:00;61.0
270008;04-01-2017 21:00:00;62.0
270008;04-01-2017 22:00:00;63.0
270008;04-01-2017 23:00:00;67.0
270008;05-01-2017 00:00:00;77.0
270008;05-01-2017 12:00:00;89.0
270008;05-01-2017 13:00:00;83.0
270008;05-01-2017 14:00:00;74.0
270008;05-01-2017 15:00:00;63.0
270008;05-01-2017 16:00:00;55.0
270008;05-01-2017 17:00:00;50.0
270008;05-01-2017 18:00:00;48.0
270008;05-01-2017 19:00:00;49.0
270008;05-01-2017 20:00:00;52.0
270008;05-01-2017 21:00:00;53.0
270008;05-01-2017 22:00:00;59.0
270008;05-01-2017 23:00:00;63.0
270008;06-01-2017 00:00:00;67.0
270008;06-01-2017 06:00:00;80.0
270008;06-01-2017 07:00:00;79.0
270008;06-01-2017 08:00:00;80.0
270008;06-01-2017 11:00:00;80.0
270008;06-01-2017 12:00:00;74.0
270008;06-01-2017 13:00:00;63.0
270008;06-01-2017 14:00:00;59.0
270008;06-01-2017 15:00:00;52.0
270008;06-01-2017 16:00:00;46.0
270008;06-01-2017 17:00:00;46.0
270008;06-01-2017 18:00:00;45.0
270008;06-01-2017 19:00:00;44.0
270008;06-01-2017 20:00:00;46.0
270008;06-01-2017 21:00:00;52.0
270008;06-01-2017 22:00:00;57.0
270008;06-01-2017 23:00:00;63.0
270008;07-01-2017 00:00:00;73.0
270008;07-01-2017 12:00:00;72.0
270008;07-01-2017 13:00:00;64.0
270008;07-01-2017 14:00:00;57.0
270008;07-01-2017 15:00:00;50.0
270008;07-01-2017 16:00:00;44.0
270008;07-01-2017 17:00:00;46.0
270008;07-01-2017 18:00:00;48.0
270008;07-01-2017 19:00:00;47.0
270008;07-01-2017 20:00:00;49.0
270008;07-01-2017 21:00:00;51.0
270008;07-01-2017 22:00:00;58.0
270008;08-01-2017 00:00:00;68.0
270008;08-01-2017 03:00:00;76.0
270008;08-01-2017 04:00:00;81.0
270008;08-01-2017 05:00:00;83.0
270008;08-01-2017 12:00:00;79.0
270008;08-01-2017 13:00:00;69.0
270008;08-01-2017 14:00:00;62.0
270008;08-01-2017 15:00:00;51.0
270008;08-01-2017 16:00:00;49.0
270008;08-01-2017 17:00:00;54.0
270008;08-01-2017 18:00:00;54.0
270008;08-01-2017 19:00:00;54.0
270008;08-01-2017 20:00:00;60.0
270008;08-01-2017 21:00:00;67.0
270008;08-01-2017 22:00:00;69.0
270008;08-01-2017 23:00:00;74.0
270008;09-01-2017 00:00:00;77.0
270008;09-01-2017 12:00:00;91.0
270008;09-01-2017 13:00:00;89.0
270008;09-01-2017 14:00:00;77.0
270008;09-01-2017 15:00:00;61.0
270008;09-01-2017 16:00:00;53.0
270008;09-01-2017 17:00:00;48.0
270008;09-01-2017 18:00:00;54.0
270008;09-01-2017 19:00:00;53.0
270008;09-01-2017 20:00:00;56.0
270008;09-01-2017 21:00:00;57.0
270008;09-01-2017 22:00:00;60.0
270008;09-01-2017 23:00:00;66.0
270008;10-01-2017 00:00:00;75.0
270008;10-01-2017 12:00:00;69.0
270008;10-01-2017 13:00:00;65.0
270008;10-01-2017 14:00:00;57.0
270008;10-01-2017 15:00:00;53.0
270008;10-01-2017 16:00:00;50.0
270008;10-01-2017 17:00:00;47.0
270008;10-01-2017 18:00:00;53.0
270008;10-01-2017 19:00:00;57.0
270008;10-01-2017 20:00:00;60.0
